alias,normalized_name,company_key,relationship_type,management_type,role,designation
جنزر سلك,جنزر سلك,8311-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
جنيد سم باجوا,جنيد سم باجوا,4164-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
جهاد عبدالعزيز احمد الرشيد,جهاد عبدالعزيز احمد الرشيد,3020-ar,board_shareholding,,,كبار التنفيذيين
جهاد عبدالعزيز احمد الرشيد,جهاد عبدالعزيز احمد الرشيد,3020-en,board_shareholding,,,Senior Executives
جهانزيب أحمد خان,جهانزيب أحمد خان,4005-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
جواد جميل اسماعيل ابوشحاده,جواد جميل اسماعيل ابوشحاده,2320-ar,board_shareholding,,,كبار التنفيذيين
جواد جميل اسماعيل ابوشحاده,جواد جميل اسماعيل ابوشحاده,2320-en,board_shareholding,,,Senior Executives
جواد جميل اسماعيل شحادة,جواد جميل اسماعيل شحادة,2320-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
جواهر ابراهيم عبدالله الحرقان,جواهر ابراهيم عبدالله الحرقان,9603-ar,substantial_shareholder,,,
جواهر ابراهيم عبدالله الحرقان,جواهر ابراهيم عبدالله الحرقان,9603-ar,board_shareholding,,,رئيس مجلس الإدارة
جواهر ابراهيم عبدالله الحرقان,جواهر ابراهيم عبدالله الحرقان,9603-en,board_shareholding,,,Chairman
جواهر ابراهيم عبدالله الحرقان,جواهر ابراهيم عبدالله الحرقان,9603-en,substantial_shareholder,,,
جواهر إبراهيم عبدالله الحرقان,جواهر إبراهيم عبدالله الحرقان,9603-ar,board_member,board_of_directors,غير تنفيذي,رئيس مجلس الإدارة
جواهر عبدالعزيز احمد التويجري,جواهر عبدالعزيز احمد التويجري,9651-ar,substantial_shareholder,,,
جواهر عبدالعزيز احمد التويجري,جواهر عبدالعزيز احمد التويجري,9651-en,substantial_shareholder,,,
جوجال كيشور مادان,جوجال كيشور مادان,8040-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
جورج عبدالكريم جورج موسى,جورج عبدالكريم جورج موسى,3007-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
جورج عبدالكريم جورج موسى,جورج عبدالكريم جورج موسى,3007-ar,board_member,board_of_directors,تنفيذي,أعضاء مجلس الإدارة
جورج عبدالكريم موسي,جورج عبدالكريم موسي,3007-ar,board_shareholding,,,أعضاء مجلس الإدارة
جورج عبدالكريم موسي,جورج عبدالكريم موسي,3007-ar,board_shareholding,,,كبار التنفيذيين
جورج عبدالكريم موسي,جورج عبدالكريم موسي,3007-en,board_shareholding,,,Senior Executives
جورج عبدالكريم موسي,جورج عبدالكريم موسي,3007-en,board_shareholding,,,Board of Directors
جورج يعقوب غجر,جورج يعقوب غجر,7205-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
جورجس الخوري انطونيوس ابراهام,جورجس الخوري انطونيوس ابراهام,1201-ar,board_shareholding,,,أعضاء مجلس الإدارة
جورجس الخوري انطونيوس ابراهام,جورجس الخوري انطونيوس ابراهام,1201-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
جورجس الخوري انطونيوس ابراهام,جورجس الخوري انطونيوس ابراهام,1201-en,board_shareholding,,,Board of Directors
جوزه عبد المحسن الرشيد,جوزه عبد المحسن الرشيد,6004-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
جوزه عبدالمحسن محمد الرشيد,جوزه عبدالمحسن محمد الرشيد,6004-ar,board_shareholding,,,أعضاء مجلس الإدارة
جوزه عبدالمحسن محمد الرشيد,جوزه عبدالمحسن محمد الرشيد,6004-en,board_shareholding,,,Board of Directors
جون ابراهامسون رينج,جون ابراهامسون رينج,4240-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
جون قريقوري ايوسيفيدس,جون قريقوري ايوسيفيدس,2284-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
جونسون فارغس,جونسون فارغس,8060-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
جوهان هنري براند,جوهان هنري براند,4321-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
جيلبرتو أنتونياتزي,جيلبرتو أنتونياتزي,1211-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
جيمس كريستوفر  هارتنشتاين,جيمس كريستوفر  هارتنشتاين,6016-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
حاتم أحمد السيد سليمان,حاتم أحمد السيد سليمان,2382-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
حاتم بن عبد الرزاق صالح الدريعان,حاتم بن عبد الرزاق صالح الدريعان,4290-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
حاتم حمزة علي الشلالي,حاتم حمزة علي الشلالي,9514-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
حاتم حمزه علي الشلالي,حاتم حمزه علي الشلالي,9514-ar,board_shareholding,,,أعضاء مجلس الإدارة
حاتم حمزه علي الشلالي,حاتم حمزه علي الشلالي,9514-en,board_shareholding,,,Board of Directors
حاتم عبدالحميد عبدالقادر الشريف,حاتم عبدالحميد عبدالقادر الشريف,9611-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
حارث حفيظ زاهد حفيظ,حارث حفيظ زاهد حفيظ,9584-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
حازم بسيوني بسيوني خضر,حازم بسيوني بسيوني خضر,9606-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
حازم بن حمزه بن محمد مسعودي,حازم بن حمزه بن محمد مسعودي,9628-ar,substantial_shareholder,,,
حازم بن حمزه بن محمد مسعودي,حازم بن حمزه بن محمد مسعودي,9628-ar,board_shareholding,,,أعضاء مجلس الإدارة
حازم بن حمزه بن محمد مسعودي,حازم بن حمزه بن محمد مسعودي,9628-en,board_shareholding,,,Board of Directors
حازم بن حمزه بن محمد مسعودي,حازم بن حمزه بن محمد مسعودي,9628-en,substantial_shareholder,,,
حازم بن فائز خالد الأسود,حازم بن فائز خالد الأسود,4006-ar,board_shareholding,,,رئيس مجلس الإدارة
حازم بن فائز خالد الأسود,حازم بن فائز خالد الأسود,4006-ar,substantial_shareholder,,,
حازم بن فائز خالد الأسود,حازم بن فائز خالد الأسود,4006-en,board_shareholding,,,Chairman
حازم بن فائز خالد الأسود,حازم بن فائز خالد الأسود,4006-en,substantial_shareholder,,,
حازم حمزة محمد مسعودي,حازم حمزة محمد مسعودي,9628-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
حازم زيد عودة,حازم زيد عودة,8310-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
حازم عبد الله عبدالعزيز آل الشيخ مبارك,حازم عبد الله عبدالعزيز آل الشيخ مبارك,4003-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
حازم عبدالله عبدالعزيز آل الشيخ المبارك,حازم عبدالله عبدالعزيز آل الشيخ المبارك,4003-ar,board_shareholding,,,أعضاء مجلس الإدارة
حازم عبدالله عبدالعزيز آل الشيخ المبارك,حازم عبدالله عبدالعزيز آل الشيخ المبارك,4003-en,board_shareholding,,,Board of Directors
حازم فائز خالد الأسود,حازم فائز خالد الأسود,4006-ar,board_member,board_of_directors,غير تنفيذي,رئيس مجلس الإدارة
حافظ احمد عمر عبدالله,حافظ احمد عمر عبدالله,9635-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
حامد عبدالله حامد الضويحي,حامد عبدالله حامد الضويحي,9608-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
حامد فهيم عبدالنبي متولي,حامد فهيم عبدالنبي متولي,9532-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
حسام الدين النوري,حسام الدين النوري,4072-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
حسام الدين محمد السيد بدر,حسام الدين محمد السيد بدر,4084-ar,substantial_shareholder,,,
حسام الدين محمد السيد بدر,حسام الدين محمد السيد بدر,4084-en,substantial_shareholder,,,
حسام بن صالح القاضي,حسام بن صالح القاضي,2284-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
حسام زياد احمد منصور,حسام زياد احمد منصور,8040-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
حسام سلامه احمد سلامه,حسام سلامه احمد سلامه,9644-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
حسام صالح رشيد بن عوين,حسام صالح رشيد بن عوين,4082-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
حسام محمد البدر,حسام محمد البدر,2250-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
حسام مهند قصي العزاوي,حسام مهند قصي العزاوي,4081-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
حسان سعد فرحان اليماني,حسان سعد فرحان اليماني,4061-ar,board_shareholding,,,أعضاء مجلس الإدارة
حسان سعد فرحان اليماني,حسان سعد فرحان اليماني,4061-ar,board_shareholding,,,كبار التنفيذيين
حسان سعد فرحان اليماني,حسان سعد فرحان اليماني,4061-en,board_shareholding,,,Senior Executives
حسان سعد فرحان اليماني,حسان سعد فرحان اليماني,4061-en,board_shareholding,,,Board of Directors
حسان عصام محمد قباني,حسان عصام محمد قباني,1201-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
حسن ابشر حبيب الله,حسن ابشر حبيب الله,9546-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
حسن بلال الزهراني,حسن بلال الزهراني,9577-ar,board_member,board_of_directors,غير تنفيذي,رئيس مجلس الإدارة
حسن بلال بن موسى الزهراني,حسن بلال بن موسى الزهراني,9577-ar,board_shareholding,,,رئيس مجلس الإدارة
حسن بلال بن موسى الزهراني,حسن بلال بن موسى الزهراني,9577-en,board_shareholding,,,Chairman
حسن بن شكيب بن مراد الجابري,حسن بن شكيب بن مراد الجابري,4162-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
حسن بن شوقي بن احمد الحازمي,حسن بن شوقي بن احمد الحازمي,4328-ar,board_member,board_of_directors,تنفيذي,أعضاء مجلس الإدارة
حسن بن شوقي بن احمد الحازمي,حسن بن شوقي بن احمد الحازمي,4328-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
حسن بن علي بن عبدالمحسن الجشي,حسن بن علي بن عبدالمحسن الجشي,4014-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
حسن رميح الزهراني,حسن رميح الزهراني,8310-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
حسن شوقي احمد جعبور الحازمي,حسن شوقي احمد جعبور الحازمي,4328-ar,board_shareholding,,,أعضاء مجلس الإدارة
حسن شوقي احمد جعبور الحازمي,حسن شوقي احمد جعبور الحازمي,4328-ar,board_shareholding,,,كبار التنفيذيين
حسن شوقي احمد جعبور الحازمي,حسن شوقي احمد جعبور الحازمي,4328-en,board_shareholding,,,Senior Executives
حسن شوقي احمد جعبور الحازمي,حسن شوقي احمد جعبور الحازمي,4328-en,board_shareholding,,,Board of Directors
حسن عبدالرحمن عبدالله العفالق,حسن عبدالرحمن عبدالله العفالق,4018-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
حسن عطا الله العمري,حسن عطا الله العمري,9610-ar,board_shareholding,,,رئيس مجلس الإدارة
حسن عطا الله العمري,حسن عطا الله العمري,9610-en,board_shareholding,,,Chairman
حسن عطالله العمري,حسن عطالله العمري,9610-ar,board_member,board_of_directors,غير تنفيذي,رئيس مجلس الإدارة
حسن محمد فارس الشبلي,حسن محمد فارس الشبلي,9541-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
حسين احمد صالح قحاط,حسين احمد صالح قحاط,3002-ar,board_shareholding,,,أعضاء مجلس الإدارة
حسين احمد صالح قحاط,حسين احمد صالح قحاط,3002-en,board_shareholding,,,Board of Directors
حسين بن سعيد عقيل,حسين بن سعيد عقيل,8300-ar,board_member,board_of_directors,غير تنفيذي,رئيس مجلس الإدارة
حسين بن علي شبكشي,حسين بن علي شبكشي,4240-ar,board_member,board_of_directors,مستقل,رئيس مجلس الإدارة
حسين حسن عيد,حسين حسن عيد,1180-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
حسين سعيد محمد عقيل,حسين سعيد محمد عقيل,8300-ar,board_shareholding,,,رئيس مجلس الإدارة
حسين سعيد محمد عقيل,حسين سعيد محمد عقيل,8300-en,board_shareholding,,,Chairman
حسين عبد المحسن الراشد,حسين عبد المحسن الراشد,8170-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
حسين محمد عبدالسلام حسن بدوي,حسين محمد عبدالسلام حسن بدوي,2382-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
حصة عبدالمحسن آل الشيخ,حصة عبدالمحسن آل الشيخ,8010-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
حصه سيف سعد الشهراني,حصه سيف سعد الشهراني,9559-ar,substantial_shareholder,,,
حصه سيف سعد الشهراني,حصه سيف سعد الشهراني,9559-en,substantial_shareholder,,,
حصه علي ابراهيم الحميضي,حصه علي ابراهيم الحميضي,9650-ar,substantial_shareholder,,,
حصه علي ابراهيم الحميضي,حصه علي ابراهيم الحميضي,9650-en,substantial_shareholder,,,
حليم بن علي الصائم,حليم بن علي الصائم,4140-ar,board_shareholding,,,أعضاء مجلس الإدارة
حليم بن علي الصائم,حليم بن علي الصائم,4140-ar,board_shareholding,,,كبار التنفيذيين
حليم بن علي الصائم,حليم بن علي الصائم,4140-en,board_shareholding,,,Board of Directors
حليم بن علي الصائم,حليم بن علي الصائم,4140-en,board_shareholding,,,Senior Executives
حمد ابراهيم اللحيدان,حمد ابراهيم اللحيدان,9522-ar,board_member,board_of_directors,غير تنفيذي,رئيس مجلس الإدارة
حمد ابراهيم حمد السلامة,حمد ابراهيم حمد السلامة,9549-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
حمد ابراهيم علي اللحيدان,حمد ابراهيم علي اللحيدان,9522-ar,board_shareholding,,,رئيس مجلس الإدارة
حمد ابراهيم علي اللحيدان,حمد ابراهيم علي اللحيدان,9522-ar,substantial_shareholder,,,
حمد ابراهيم علي اللحيدان,حمد ابراهيم علي اللحيدان,9522-en,substantial_shareholder,,,
حمد ابراهيم علي اللحيدان,حمد ابراهيم علي اللحيدان,9522-en,board_shareholding,,,Chairman
حمد بن حمدان السريع,حمد بن حمدان السريع,4240-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
حمد بن حمدان السريع,حمد بن حمدان السريع,9583-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
حمد بن سعود العمر,حمد بن سعود العمر,4210-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
حمد بن عبدالله بن صالح العليان,حمد بن عبدالله بن صالح العليان,3030-ar,board_shareholding,,,أعضاء مجلس الإدارة
حمد بن عبدالله بن صالح العليان,حمد بن عبدالله بن صالح العليان,3030-en,board_shareholding,,,Board of Directors
حمد بن عــبدالـله بن صالـح العليان,حمد بن عبدالله بن صالح العليان,3030-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
حمد بن عبدالله بن فهد البكر,حمد بن عبدالله بن فهد البكر,6017-ar,board_member,board_of_directors,تنفيذي,أعضاء مجلس الإدارة
حمد بن محمد الدريس,حمد بن محمد الدريس,4200-ar,board_member,board_of_directors,غير تنفيذي,رئيس مجلس الإدارة
حمد بن محمد العلي الضويلع,حمد بن محمد العلي الضويلع,4021-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
حمد تركي حمد الصفيان,حمد تركي حمد الصفيان,9624-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
حمد حمدان سريع السريع,حمد حمدان سريع السريع,4240-ar,board_shareholding,,,أعضاء مجلس الإدارة
حمد حمدان سريع السريع,حمد حمدان سريع السريع,4240-en,board_shareholding,,,Board of Directors
حمد حمدان سريع السريع,حمد حمدان سريع السريع,9583-ar,board_shareholding,,,كبار التنفيذيين
حمد حمدان سريع السريع,حمد حمدان سريع السريع,9583-en,board_shareholding,,,Senior Executives
حمد حمدان سريع السريع,حمد حمدان سريع السريع,9592-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
حمد حمدان سريع السريع,حمد حمدان سريع السريع,9592-ar,board_shareholding,,,أعضاء مجلس الإدارة
حمد حمدان سريع السريع,حمد حمدان سريع السريع,9592-en,board_shareholding,,,Board of Directors
حمد سعود حمد العمر,حمد سعود حمد العمر,4210-ar,board_shareholding,,,أعضاء مجلس الإدارة
حمد سعود حمد العمر,حمد سعود حمد العمر,4210-en,board_shareholding,,,Board of Directors
حمد سليمان اليحياء,حمد سليمان حمد اليحياء,9618-ar,board_member,board_of_directors,نائب الرئيس - غير تنفيذي,أعضاء مجلس الإدارة
حمد سليمان حمد اليحياء,حمد سليمان حمد اليحياء,9618-ar,board_shareholding,,,أعضاء مجلس الإدارة
حمد سليمان حمد اليحياء,حمد سليمان حمد اليحياء,9618-en,board_shareholding,,,Board of Directors
حمد عبدالله المخلف المانع,حمد عبدالله المخلف المانع,9600-ar,board_shareholding,,,أعضاء مجلس الإدارة
حمد عبدالله المخلف المانع,حمد عبدالله المخلف المانع,9600-en,board_shareholding,,,Board of Directors
حمد عبدالله فهد البكر,حمد عبدالله فهد البكر,6017-ar,board_shareholding,,,أعضاء مجلس الإدارة
حمد عبدالله فهد البكر,حمد عبدالله فهد البكر,6017-en,board_shareholding,,,Board of Directors
حمد علي سعود الصقري,حمد علي سعود الصقري,1830-ar,board_shareholding,,,أعضاء مجلس الإدارة
حمد علي سعود الصقري,حمد علي سعود الصقري,1830-ar,board_member,board_of_directors,نائب الرئيس - تنفيذي,أعضاء مجلس الإدارة
حمد علي سعود الصقري,حمد علي سعود الصقري,1830-ar,substantial_shareholder,,,
حمد علي سعود الصقري,حمد علي سعود الصقري,1830-en,board_shareholding,,,Board of Directors
حمد علي سعود الصقري,حمد علي سعود الصقري,1830-en,substantial_shareholder,,,
حمد فهد المالك,حمد فهد المالك,8020-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
حمد محمد بن عبدالله بن سعيدان,حمد محمد بن عبدالله بن سعيدان,9648-ar,board_shareholding,,,رئيس مجلس الإدارة
حمد محمد بن عبدالله بن سعيدان,حمد محمد بن عبدالله بن سعيدان,9648-ar,substantial_shareholder,,,
حمد محمد بن عبدالله بن سعيدان,حمد محمد بن عبدالله بن سعيدان,9648-en,substantial_shareholder,,,
حمد محمد بن عبدالله بن سعيدان,حمد محمد بن عبدالله بن سعيدان,9648-en,board_shareholding,,,Chairman
حمد محمد سعد الدريس,حمد محمد سعد الدريس,4200-ar,board_shareholding,,,رئيس مجلس الإدارة
حمد محمد سعد الدريس,حمد محمد سعد الدريس,4200-en,board_shareholding,,,Chairman
حمد محمد عبد الله السعد,حمد محمد عبد الله السعد,9566-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
حمد محمد عبدالله بن سعيدان,حمد محمد بن عبدالله بن سعيدان,9648-ar,board_member,board_of_directors,غير تنفيذي,رئيس مجلس الإدارة
حمد محمد مبارك الهذيلي,حمد محمد مبارك الهذيلي,4163-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
حمد محمد موسى ال موسى,حمد محمد موسى ال موسى,9648-ar,board_member,board_of_directors,نائب الرئيس - غير تنفيذي,أعضاء مجلس الإدارة
حمد محمد هادي آل رشيد,حمد محمد هادي آل رشيد,9601-ar,substantial_shareholder,,,
حمد محمد هادي آل رشيد,حمد محمد هادي آل رشيد,9601-ar,board_shareholding,,,رئيس مجلس الإدارة
حمد محمد هادي آل رشيد,حمد محمد هادي آل رشيد,9601-ar,board_member,board_of_directors,غير تنفيذي,رئيس مجلس الإدارة
حمد محمد هادي آل رشيد,حمد محمد هادي آل رشيد,9601-en,board_shareholding,,,Chairman
حمد محمد هادي آل رشيد,حمد محمد هادي آل رشيد,9601-en,substantial_shareholder,,,
حمد مرشد ناصر آل منيف الهاجري,حمد مرشد ناصر آل منيف الهاجري,9569-ar,board_member,board_of_directors,غير تنفيذي,رئيس مجلس الإدارة
حمد مرشد ناصر المنيف,حمد مرشد ناصر المنيف,9569-ar,substantial_shareholder,,,
حمد مرشد ناصر المنيف,حمد مرشد ناصر المنيف,9569-ar,board_shareholding,,,رئيس مجلس الإدارة
حمد مرشد ناصر المنيف,حمد مرشد ناصر المنيف,9569-en,board_shareholding,,,Chairman
حمد مرشد ناصر المنيف,حمد مرشد ناصر المنيف,9569-en,substantial_shareholder,,,
حمزة بن عثمان خشيم,حمزة بن عثمان خشيم,1810-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
حمزة بهي الدين السيد الخولي,حمزة بهي الدين السيد الخولي,4264-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
حمزة حسين محمد بدير,حمزة حسين محمد بدير,9645-ar,board_member,board_of_directors,تنفيذي,أعضاء مجلس الإدارة
حمزة حسين محمد بدير,حمزة حسين محمد بدير,9645-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
حمزة محمد صالح حمزة صيرفي,حمزة محمد صالح حمزة صيرفي,4100-ar,board_shareholding,,,أعضاء مجلس الإدارة
حمزة محمد صالح حمزة صيرفي,حمزة محمد صالح حمزة صيرفي,4100-en,board_shareholding,,,Board of Directors
حمزه بن عثمان حمزه خشيم,حمزه بن عثمان حمزه خشيم,1120-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
حمزه بهي الدين السيد الخولي,حمزه بهي الدين السيد الخولي,4264-ar,board_shareholding,,,أعضاء مجلس الإدارة
حمزه بهي الدين السيد الخولي,حمزه بهي الدين السيد الخولي,4264-en,board_shareholding,,,Board of Directors
حمزه عثمان حمزه خشيم,حمزه عثمان حمزه خشيم,1120-ar,board_shareholding,,,أعضاء مجلس الإدارة
حمزه عثمان حمزه خشيم,حمزه عثمان حمزه خشيم,1120-en,board_shareholding,,,Board of Directors
حمود لافي جابر العماني,حمود لافي جابر العماني,9620-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
حمود محمد صالح الحمود,حمود محمد صالح الحمود,9617-ar,substantial_shareholder,,,
حمود محمد صالح الحمود,حمود محمد صالح الحمود,9617-en,substantial_shareholder,,,
حميد بن عبدالله الحميد,حميد بن عبدالله الحميد,4144-ar,board_member,board_of_directors,تنفيذي,أعضاء مجلس الإدارة
حميد بن عبدالله الحميد,حميد بن عبدالله الحميد,4144-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
حميد عبدالله محمد الحميد,حميد عبدالله محمد الحميد,4144-ar,board_shareholding,,,كبار التنفيذيين
حميد عبدالله محمد الحميد,حميد عبدالله محمد الحميد,4144-ar,board_shareholding,,,أعضاء مجلس الإدارة
حميد عبدالله محمد الحميد,حميد عبدالله محمد الحميد,4144-en,board_shareholding,,,Board of Directors
حميد عبدالله محمد الحميد,حميد عبدالله محمد الحميد,4144-en,board_shareholding,,,Senior Executives
حميدة عفاش محمد الخالدي,حميدة عفاش محمد الخالدي,9608-ar,board_member,board_of_directors,نائب الرئيس - غير تنفيذي,أعضاء مجلس الإدارة
حميده عفاش محمد الخالدي,حميده عفاش محمد الخالدي,9608-ar,substantial_shareholder,,,
حميده عفاش محمد الخالدي,حميده عفاش محمد الخالدي,9608-ar,board_shareholding,,,أعضاء مجلس الإدارة
حميده عفاش محمد الخالدي,حميده عفاش محمد الخالدي,9608-en,substantial_shareholder,,,
حميده عفاش محمد الخالدي,حميده عفاش محمد الخالدي,9608-en,board_shareholding,,,Board of Directors
حيدر اوكار,حيدر اوكار,4263-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
خادم سروار,خادم سروار,9564-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
خالد إبراهيم سعد الربيعة,خالد إبراهيم سعد الربيعة,2084-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
خالد احمد عبدالعزيز الحمدان,خالد احمد عبدالعزيز الحمدان,2030-ar,board_shareholding,,,أعضاء مجلس الإدارة
خالد احمد عبدالعزيز الحمدان,خالد احمد عبدالعزيز الحمدان,2030-en,board_shareholding,,,Board of Directors
خالد اسعد تقى خاشقجي,خالد اسعد تقى خاشقجي,2110-ar,board_shareholding,,,أعضاء مجلس الإدارة
خالد اسعد تقى خاشقجي,خالد اسعد تقى خاشقجي,2110-ar,board_shareholding,,,كبار التنفيذيين
خالد اسعد تقى خاشقجي,خالد اسعد تقى خاشقجي,2110-en,board_shareholding,,,Board of Directors
خالد اسعد تقى خاشقجي,خالد اسعد تقى خاشقجي,2110-en,board_shareholding,,,Senior Executives
خالد بتال سيف البتال,خالد بتال سيف البتال,9621-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
خالد بن ابراهيم بن سعد الربيعه,خالد بن ابراهيم بن سعد الربيعه,2070-ar,board_shareholding,,,أعضاء مجلس الإدارة
خالد بن ابراهيم بن سعد الربيعه,خالد بن ابراهيم بن سعد الربيعه,2070-en,board_shareholding,,,Board of Directors
خالد بن ابراهيم بن سعد الربيعه,خالد بن ابراهيم بن سعد الربيعه,2290-ar,board_shareholding,,,أعضاء مجلس الإدارة
خالد بن ابراهيم بن سعد الربيعه,خالد بن ابراهيم بن سعد الربيعه,2290-en,board_shareholding,,,Board of Directors
خالد بن ابراهيم بن سعد الربيعه,خالد بن ابراهيم بن سعد الربيعه,3050-ar,board_shareholding,,,أعضاء مجلس الإدارة
خالد بن ابراهيم بن سعد الربيعه,خالد بن ابراهيم بن سعد الربيعه,3050-en,board_shareholding,,,Board of Directors
خالد بن أحمد بن عبدالعزيز الحمدان,خالد بن أحمد بن عبدالعزيز الحمدان,8190-ar,board_member,board_of_directors,نائب الرئيس - مستقل,أعضاء مجلس الإدارة
خالد بن اسعد بن تقي خاشقجي,خالد بن اسعد بن تقي خاشقجي,2110-ar,board_member,board_of_directors,تنفيذي,أعضاء مجلس الإدارة
خالد بن اسعد بن تقي خاشقجي,خالد بن اسعد بن تقي خاشقجي,2110-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
خالد بن حسن القحطاني,خالد بن حسن القحطاني,9610-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
خالد بن داود ابراهيم بن داود,خالد بن داود ابراهيم بن داود,4161-ar,board_shareholding,,,أعضاء مجلس الإدارة
خالد بن داود ابراهيم بن داود,خالد بن داود ابراهيم بن داود,4161-en,board_shareholding,,,Board of Directors
خالد بن سالم الرويس,خالد بن سالم الرويس,5110-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
خالد بن سالم الغامدي,خالد بن سالم الغامدي,5110-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
خالد بن سائر بن عواد الشمري,خالد سائر بن عواد الشمري,2110-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
خالد بن سعيد أبو خضراء,خالد بن سعيد أبو خضراء,2120-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
خالد بن سعيد السفري,خالد بن سعيد السفري,9527-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
خالد بن عبدالرحمن القويز,خالد بن عبدالرحمن القويز,1120-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
