alias,normalized_name,company_key,relationship_type,management_type,role,designation
علي رياض محمد الحميدان,علي رياض محمد الحميدان,9623-en,board_shareholding,,,Board of Directors
علي سعيد سلطان بن حرمل الظاهري,علي سعيد سلطان بن حرمل الظاهري,6019-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
علي سليمان محمد الرشيد,علي سليمان محمد الرشيد,3091-ar,substantial_shareholder,,,
علي سليمان محمد الرشيد,علي سليمان محمد الرشيد,3091-en,substantial_shareholder,,,
علي عبد الرحمن عثمان الغامدي,علي عبد الرحمن عثمان الغامدي,1834-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
علي عبدالرزاق الغامدي,علي عبدالرزاق الغامدي,2370-ar,board_member,board_of_directors,تنفيذي,أعضاء مجلس الإدارة
علي عبدالرزاق محمد الغامدي,علي عبدالرزاق محمد الغامدي,2370-ar,board_shareholding,,,أعضاء مجلس الإدارة
علي عبدالرزاق محمد الغامدي,علي عبدالرزاق محمد الغامدي,2370-en,board_shareholding,,,Board of Directors
علي عبدالغفار علي عمارة,علي عبدالغفار علي عمارة,7205-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
علي عبدالكريم ابراهيم اللحيدان,عبدالكريم ابراهيم علي اللحيدان,9522-ar,board_member,board_of_directors,تنفيذي,أعضاء مجلس الإدارة
علي عبدالله حميد الحربي,علي عبدالله حميد الحربي,7202-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
علي عبدالله سليمان العايد,علي عبدالله سليمان العايد,3060-ar,board_shareholding,,,أعضاء مجلس الإدارة
علي عبدالله سليمان العايد,علي عبدالله سليمان العايد,3060-ar,board_shareholding,,,كبار التنفيذيين
علي عبدالله سليمان العايد,علي عبدالله سليمان العايد,3060-en,board_shareholding,,,Board of Directors
علي عبدالله سليمان العايد,علي عبدالله سليمان العايد,3060-en,board_shareholding,,,Senior Executives
علي عبدالله علي الصقية,علي عبدالله علي الصقية,9604-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
